model,domain,horizon_s,target,seed_count,MAE_mean,MAE_std,RMSE_mean,RMSE_std,WAPE_mean,WAPE_std,R2_mean,R2_std,MAE_mean_std,RMSE_mean_std,WAPE_mean_std,R2_mean_std
ca_dtnet,cicv5g,5,flow_proxy,3,13050.726561742078,205.80607594267684,22911.738125855627,486.97519835794327,0.4068398812292449,0.006415743912544209,0.7604232755120343,0.010134869102534198,13050.726562 ± 205.806076,22911.738126 ± 486.975198,0.406840 ± 0.006416,0.760423 ± 0.010135
ca_dtnet,cicv5g,5,speed_mean_kmh,3,3.7216042559323186,0.06297156893666549,7.761193103355467,0.041878308947725776,0.47140428686554237,0.007976417025016728,0.4793598764143006,0.005626931409661125,3.721604 ± 0.062972,7.761193 ± 0.041878,0.471404 ± 0.007976,0.479360 ± 0.005627
ca_dtnet,cicv5g,5,vehicle_count,3,0.9516650996152735,0.027563247905861538,1.737482066166254,0.07530283328929752,0.21110698888831356,0.006114329790743524,0.9205324126484903,0.006816843083356231,0.951665 ± 0.027563,1.737482 ± 0.075303,0.211107 ± 0.006114,0.920532 ± 0.006817
ca_dtnet,cicv5g,10,flow_proxy,3,15985.777072371338,347.16199546958694,28236.40969455062,301.1024677091141,0.4882991042408365,0.010604357276271875,0.6479396059840443,0.007531020317681449,15985.777072 ± 347.161995,28236.409695 ± 301.102468,0.488299 ± 0.010604,0.647940 ± 0.007531
ca_dtnet,cicv5g,10,speed_mean_kmh,3,4.169149710859391,0.02814328688343905,8.10067077662916,0.031141003434057943,0.5202136056104214,0.003511632289247926,0.43661153751854914,0.004335294277404288,4.169150 ± 0.028143,8.100671 ± 0.031141,0.520214 ± 0.003512,0.436612 ± 0.004335
ca_dtnet,cicv5g,10,vehicle_count,3,1.2524562486744202,0.04024253191684753,2.258305956328455,0.11394752392855904,0.2759597460938657,0.008866831796880095,0.8634081539439294,0.013588833284073603,1.252456 ± 0.040243,2.258306 ± 0.113948,0.275960 ± 0.008867,0.863408 ± 0.013589
ca_dtnet,cicv5g,30,flow_proxy,3,13731.884412268793,339.1785597336467,24292.30823626682,805.5858273195669,0.4314476456060384,0.010656788729330046,0.7331523105169445,0.017835258204570513,13731.884412 ± 339.178560,24292.308236 ± 805.585827,0.431448 ± 0.010657,0.733152 ± 0.017835
ca_dtnet,cicv5g,30,speed_mean_kmh,3,4.192641450659745,0.030208451020722563,8.170616796496697,0.1029421209309495,0.5329957328125856,0.003840293924105858,0.4190239563055645,0.014653449824788379,4.192641 ± 0.030208,8.170617 ± 0.102942,0.532996 ± 0.003840,0.419024 ± 0.014653
ca_dtnet,cicv5g,30,vehicle_count,3,1.6054841329221923,0.06848667315895597,2.9936840002581904,0.16993002067711832,0.36003552712393755,0.015358380046316253,0.7476831921898252,0.028400998636013138,1.605484 ± 0.068487,2.993684 ± 0.169930,0.360036 ± 0.015358,0.747683 ± 0.028401
ca_dtnet,clean,5,flow_proxy,3,13106.947941321085,285.29133070721593,23071.994993272354,504.61268239652105,0.4085925115737898,0.00889359611907796,0.7570557938608773,0.010600102288122745,13106.947941 ± 285.291331,23071.994993 ± 504.612682,0.408593 ± 0.008894,0.757056 ± 0.010600
ca_dtnet,clean,5,speed_mean_kmh,3,3.723189266227282,0.0768440874569183,7.774361149214215,0.09586766453975785,0.4716050552966782,0.0097336067341709,0.4775488698180002,0.01287716037737583,3.723189 ± 0.076844,7.774361 ± 0.095868,0.471605 ± 0.009734,0.477549 ± 0.012877
ca_dtnet,clean,5,vehicle_count,3,0.9561340168212067,0.04173666644151514,1.7426856149728949,0.10817426304945991,0.2120983246589719,0.009258406116044563,0.9199505946930492,0.009808266490774237,0.956134 ± 0.041737,1.742686 ± 0.108174,0.212098 ± 0.009258,0.919951 ± 0.009808
ca_dtnet,clean,10,flow_proxy,3,16091.544540466348,470.9121145270646,28562.11756813183,309.3452644040739,0.49152986116274294,0.01438440950719542,0.6397698445565305,0.007826785618826137,16091.544540 ± 470.912115,28562.117568 ± 309.345264,0.491530 ± 0.014384,0.639770 ± 0.007827
ca_dtnet,clean,10,speed_mean_kmh,3,4.196014194224473,0.06240947633580322,8.147745091459003,0.06554889169857171,0.523565672752028,0.007787261422716899,0.43002565104512697,0.009155758965716373,4.196014 ± 0.062409,8.147745 ± 0.065549,0.523566 ± 0.007787,0.430026 ± 0.009156
