model,domain,WAPE_mean,WAPE_std,R2_mean,R2_std
ca_dtnet,cicv5g,0.41092250205230957,0.004969672093270267,0.6675704801148535,0.009156732840206882
ca_dtnet,clean,0.41298598054389873,0.005382878821298324,0.6626802745141247,0.006389596061706407
ca_dtnet,see_v2x,0.41098777402524456,0.005231826761848437,0.6676732928966449,0.009302702412591141
dcrnn,cicv5g,0.4392889967795299,0.006486926637747564,0.685883372163428,0.0063005119445357265
dcrnn,clean,0.4392889967795299,0.006486926637747564,0.685883372163428,0.0063005119445357265
dcrnn,see_v2x,0.4393331116135055,0.006442717553486918,0.6858040852959592,0.006203352256924648
graph_gru,cicv5g,0.4401012014307684,0.004424823784649016,0.6766673853750133,0.009180728026197817
graph_gru,clean,0.4401012014307684,0.004424823784649016,0.6766673853750133,0.009180728026197817
graph_gru,see_v2x,0.4405939804178381,0.004558577526919278,0.6760632955908233,0.009591342979624645
graph_wavenet,cicv5g,0.4318198069947403,0.009672996815381786,0.6677597455476941,0.01454109458408693
graph_wavenet,clean,0.4318198069947403,0.009672996815381786,0.6677597455476941,0.01454109458408693
graph_wavenet,see_v2x,0.4321580377896872,0.009473559050890961,0.6673570390268203,0.014310533464772221
