model,domain,horizon_s,MAE_mean_std,RMSE_mean_std,WAPE_mean_std,R2_mean_std
ca_dtnet,cicv5g,5,3.721604 ± 0.062972,7.761193 ± 0.041878,0.471404 ± 0.007976,0.479360 ± 0.005627
ca_dtnet,cicv5g,10,4.169150 ± 0.028143,8.100671 ± 0.031141,0.520214 ± 0.003512,0.436612 ± 0.004335
ca_dtnet,cicv5g,30,4.192641 ± 0.030208,8.170617 ± 0.102942,0.532996 ± 0.003840,0.419024 ± 0.014653
ca_dtnet,clean,5,3.723189 ± 0.076844,7.774361 ± 0.095868,0.471605 ± 0.009734,0.477549 ± 0.012877
ca_dtnet,clean,10,4.196014 ± 0.062409,8.147745 ± 0.065549,0.523566 ± 0.007787,0.430026 ± 0.009156
ca_dtnet,clean,30,4.208021 ± 0.047005,8.226578 ± 0.064443,0.534951 ± 0.005976,0.411077 ± 0.009243
ca_dtnet,see_v2x,5,3.722319 ± 0.062938,7.760465 ± 0.036617,0.471495 ± 0.007972,0.479460 ± 0.004919
ca_dtnet,see_v2x,10,4.167791 ± 0.031485,8.099455 ± 0.031426,0.520044 ± 0.003929,0.436781 ± 0.004372
ca_dtnet,see_v2x,30,4.203920 ± 0.021082,8.174490 ± 0.091445,0.534429 ± 0.002680,0.418486 ± 0.013023
dcrnn,cicv5g,5,3.916007 ± 0.038220,7.425588 ± 0.035022,0.496029 ± 0.004841,0.523415 ± 0.004489
dcrnn,cicv5g,10,4.302467 ± 0.060510,7.725479 ± 0.075250,0.536849 ± 0.007550,0.487564 ± 0.009973
dcrnn,cicv5g,30,4.363247 ± 0.026277,7.716008 ± 0.049794,0.554684 ± 0.003341,0.481916 ± 0.006695
dcrnn,clean,5,3.916007 ± 0.038220,7.425588 ± 0.035022,0.496029 ± 0.004841,0.523415 ± 0.004489
dcrnn,clean,10,4.302467 ± 0.060510,7.725479 ± 0.075250,0.536849 ± 0.007550,0.487564 ± 0.009973
dcrnn,clean,30,4.363247 ± 0.026277,7.716008 ± 0.049794,0.554684 ± 0.003341,0.481916 ± 0.006695
dcrnn,see_v2x,5,3.918518 ± 0.037746,7.425803 ± 0.035059,0.496347 ± 0.004781,0.523387 ± 0.004494
dcrnn,see_v2x,10,4.305040 ± 0.063241,7.729738 ± 0.075664,0.537170 ± 0.007891,0.486998 ± 0.010031
dcrnn,see_v2x,30,4.358802 ± 0.024161,7.708740 ± 0.049466,0.554119 ± 0.003071,0.482892 ± 0.006647
graph_gru,cicv5g,5,3.969031 ± 0.032563,7.491238 ± 0.119974,0.502745 ± 0.004125,0.514875 ± 0.015606
graph_gru,cicv5g,10,4.450312 ± 0.044486,7.952354 ± 0.155266,0.555296 ± 0.005551,0.456920 ± 0.021280
graph_gru,cicv5g,30,4.395455 ± 0.115295,7.790710 ± 0.039319,0.558779 ± 0.014657,0.471842 ± 0.005324
graph_gru,clean,5,3.969031 ± 0.032563,7.491238 ± 0.119974,0.502745 ± 0.004125,0.514875 ± 0.015606
graph_gru,clean,10,4.450312 ± 0.044486,7.952354 ± 0.155266,0.555296 ± 0.005551,0.456920 ± 0.021280
graph_gru,clean,30,4.395455 ± 0.115295,7.790710 ± 0.039319,0.558779 ± 0.014657,0.471842 ± 0.005324
graph_gru,see_v2x,5,3.971637 ± 0.031679,7.492454 ± 0.120070,0.503075 ± 0.004013,0.514717 ± 0.015620
graph_gru,see_v2x,10,4.451924 ± 0.045978,7.954449 ± 0.156418,0.555497 ± 0.005737,0.456632 ± 0.021443
graph_gru,see_v2x,30,4.401724 ± 0.118101,7.796636 ± 0.035370,0.559576 ± 0.015014,0.471040 ± 0.004794
graph_wavenet,cicv5g,5,3.856708 ± 0.083876,7.682241 ± 0.233826,0.488517 ± 0.010624,0.489593 ± 0.030779
graph_wavenet,cicv5g,10,4.382203 ± 0.213004,8.160414 ± 0.371546,0.546798 ± 0.026578,0.427486 ± 0.051388
graph_wavenet,cicv5g,30,4.612695 ± 0.139995,8.094039 ± 0.143883,0.586396 ± 0.017797,0.429803 ± 0.020343
graph_wavenet,clean,5,3.856708 ± 0.083876,7.682241 ± 0.233826,0.488517 ± 0.010624,0.489593 ± 0.030779
graph_wavenet,clean,10,4.382203 ± 0.213004,8.160414 ± 0.371546,0.546798 ± 0.026578,0.427486 ± 0.051388
graph_wavenet,clean,30,4.612695 ± 0.139995,8.094039 ± 0.143883,0.586396 ± 0.017797,0.429803 ± 0.020343
graph_wavenet,see_v2x,5,3.859731 ± 0.083858,7.684162 ± 0.233690,0.488900 ± 0.010622,0.489339 ± 0.030769
graph_wavenet,see_v2x,10,4.384502 ± 0.211047,8.162820 ± 0.369235,0.547085 ± 0.026334,0.427159 ± 0.051087
graph_wavenet,see_v2x,30,4.615240 ± 0.137028,8.098758 ± 0.139031,0.586719 ± 0.017420,0.429146 ± 0.019662
