model,domain,horizon_s,target,MAE,RMSE,WAPE,R2,seed
dcrnn,clean,5,speed_mean_kmh,3.8866840254182935,7.445073990061442,0.49231443895557675,0.5209175488720518,42
dcrnn,clean,5,vehicle_count,1.0953378590977547,1.8365254999056764,0.242977784246768,0.9113252877608142,42
dcrnn,clean,5,flow_proxy,13488.112452817113,22134.870472509137,0.42047483274971886,0.7764618028342003,42
dcrnn,clean,10,speed_mean_kmh,4.29863275131155,7.795627944414467,0.536370098902943,0.4782482512934494,42
dcrnn,clean,10,vehicle_count,1.3690938800988246,2.2956328656288254,0.30165907985257795,0.8590946157850133,42
dcrnn,clean,10,flow_proxy,15809.360648019514,26211.972382726246,0.48291031509443644,0.6966355384593154,42
dcrnn,clean,30,speed_mean_kmh,4.362328149173226,7.675366465626302,0.554567404821054,0.4873737703590857,42
dcrnn,clean,30,vehicle_count,1.5679274698071537,2.642574757143739,0.3516133118404843,0.8038189912833055,42
dcrnn,clean,30,flow_proxy,16035.628943458913,25689.782080490797,0.503829929363956,0.7017857216706589,42
dcrnn,cicv5g,5,speed_mean_kmh,3.8866840254182935,7.445073990061442,0.49231443895557675,0.5209175488720518,42
dcrnn,cicv5g,5,vehicle_count,1.0953378590977547,1.8365254999056764,0.242977784246768,0.9113252877608142,42
dcrnn,cicv5g,5,flow_proxy,13488.112452817113,22134.870472509137,0.42047483274971886,0.7764618028342003,42
dcrnn,cicv5g,10,speed_mean_kmh,4.29863275131155,7.795627944414467,0.536370098902943,0.4782482512934494,42
dcrnn,cicv5g,10,vehicle_count,1.3690938800988246,2.2956328656288254,0.30165907985257795,0.8590946157850133,42
dcrnn,cicv5g,10,flow_proxy,15809.360648019514,26211.972382726246,0.48291031509443644,0.6966355384593154,42
dcrnn,cicv5g,30,speed_mean_kmh,4.362328149173226,7.675366465626302,0.554567404821054,0.4873737703590857,42
dcrnn,cicv5g,30,vehicle_count,1.5679274698071537,2.642574757143739,0.3516133118404843,0.8038189912833055,42
dcrnn,cicv5g,30,flow_proxy,16035.628943458913,25689.782080490797,0.503829929363956,0.7017857216706589,42
dcrnn,see_v2x,5,speed_mean_kmh,3.888215695318234,7.445690449457917,0.492508450921181,0.5208382085979091,42
dcrnn,see_v2x,5,vehicle_count,1.096863876510165,1.8432629095267818,0.24331629927800671,0.9106734767964113,42
dcrnn,see_v2x,5,flow_proxy,13488.684465267,22145.09420212228,0.42049266451380285,0.7762552579726267,42
dcrnn,see_v2x,10,speed_mean_kmh,4.30131495630647,7.798733282220436,0.536704776146065,0.47783249565623964,42
dcrnn,see_v2x,10,vehicle_count,1.3717194463615685,2.3015360975037744,0.3022375835727568,0.8583690061692255,42
dcrnn,see_v2x,10,flow_proxy,15817.879902466848,26244.11372463858,0.4831705429392637,0.6958911061947177,42
dcrnn,see_v2x,30,speed_mean_kmh,4.356133737788221,7.6713309015662885,0.5537799311306973,0.48791268720337877,42
dcrnn,see_v2x,30,vehicle_count,1.5658888331121863,2.637946607306168,0.35115614031070347,0.8045055641149277,42
dcrnn,see_v2x,30,flow_proxy,16040.98200242795,25717.964153405173,0.5039981192947508,0.701131071792449,42
graph_wavenet,clean,5,speed_mean_kmh,3.7656387814831174,7.412283707215086,0.47698200622719883,0.5251282941344666,42
graph_wavenet,clean,5,vehicle_count,1.0415306053867752,1.825729916470308,0.2310417709203714,0.912364730596837,42
graph_wavenet,clean,5,flow_proxy,13167.562640475739,22440.275065778165,0.41048209809513475,0.7702507373443117,42
graph_wavenet,clean,10,speed_mean_kmh,4.158716102323299,7.732149292921011,0.5189117322087659,0.486710751458164,42
graph_wavenet,clean,10,vehicle_count,1.3244951015940332,2.334644092528744,0.2918324151644462,0.8542649253052361,42
graph_wavenet,clean,10,flow_proxy,15608.237360806022,27008.821911039333,0.47676683388963115,0.6779104890991443,42
graph_wavenet,clean,30,speed_mean_kmh,4.600455180956342,7.977266695762045,0.5848396552153144,0.4462537392452134,42
graph_wavenet,clean,30,vehicle_count,1.6517281561610606,2.9173776206047117,0.3704059138139843,0.7608955310898179,42
graph_wavenet,clean,30,flow_proxy,15307.212675234161,25941.330182401656,0.4809435232079358,0.6959170458743866,42
graph_wavenet,cicv5g,5,speed_mean_kmh,3.7656387814831174,7.412283707215086,0.47698200622719883,0.5251282941344666,42
graph_wavenet,cicv5g,5,vehicle_count,1.0415306053867752,1.825729916470308,0.2310417709203714,0.912364730596837,42
graph_wavenet,cicv5g,5,flow_proxy,13167.562640475739,22440.275065778165,0.41048209809513475,0.7702507373443117,42
graph_wavenet,cicv5g,10,speed_mean_kmh,4.158716102323299,7.732149292921011,0.5189117322087659,0.486710751458164,42
graph_wavenet,cicv5g,10,vehicle_count,1.3244951015940332,2.334644092528744,0.2918324151644462,0.8542649253052361,42
graph_wavenet,cicv5g,10,flow_proxy,15608.237360806022,27008.821911039333,0.47676683388963115,0.6779104890991443,42
graph_wavenet,cicv5g,30,speed_mean_kmh,4.600455180956342,7.977266695762045,0.5848396552153144,0.4462537392452134,42
graph_wavenet,cicv5g,30,vehicle_count,1.6517281561610606,2.9173776206047117,0.3704059138139843,0.7608955310898179,42
graph_wavenet,cicv5g,30,flow_proxy,15307.212675234161,25941.330182401656,0.4809435232079358,0.6959170458743866,42
graph_wavenet,see_v2x,5,speed_mean_kmh,3.768463495638155,7.414358748786936,0.47733980417407396,0.5248623797425078,42
graph_wavenet,see_v2x,5,vehicle_count,1.0433451981044966,1.8339232854299756,0.23144430034469482,0.9115764001379044,42
graph_wavenet,see_v2x,5,flow_proxy,13173.601450400849,22439.376000130243,0.41067035035075244,0.7702691467025923,42
graph_wavenet,see_v2x,10,speed_mean_kmh,4.163209630849341,7.737168008425615,0.5194724207996209,0.4860442126645612,42
graph_wavenet,see_v2x,10,vehicle_count,1.327295615398848,2.3426834266714396,0.29244946592316695,0.8532595213664128,42
graph_wavenet,see_v2x,10,flow_proxy,15610.968640355979,26999.229656675052,0.47685026313749546,0.6781392303521547,42
graph_wavenet,see_v2x,30,speed_mean_kmh,4.60381358708584,7.983989334786228,0.5852665975515815,0.4453200347715701,42
graph_wavenet,see_v2x,30,vehicle_count,1.6542344858655023,2.921254593729447,0.37096796716460984,0.7602596054895442,42
graph_wavenet,see_v2x,30,flow_proxy,15318.672941722296,25976.611245178847,0.48130359796868066,0.6950893577653738,42
graph_gru,clean,5,speed_mean_kmh,3.9800693874172963,7.41175032083793,0.504143278603599,0.5251966350117073,42
graph_gru,clean,5,vehicle_count,1.0463099204849027,1.689888873250352,0.23210196196837984,0.9249203645918509,42
graph_gru,clean,5,flow_proxy,14064.081986470252,23374.95183756366,0.4384299539113278,0.7507132339791185,42
graph_gru,clean,10,speed_mean_kmh,4.427106169024479,7.822902538302215,0.552400614592858,0.4745909548118663,42
graph_gru,clean,10,vehicle_count,1.3407816614274153,2.227789300775521,0.2954209117056384,0.8672999920887703,42
graph_gru,clean,10,flow_proxy,17118.422492938887,28514.212336190183,0.522896718218671,0.6410052825381621,42
graph_gru,clean,30,speed_mean_kmh,4.4884552781832285,7.745445702980354,0.5706015022618584,0.4779700610059101,42
graph_gru,clean,30,vehicle_count,1.65037968058465,2.8139868722324675,0.370103513369775,0.7775427659515936,42
graph_gru,clean,30,flow_proxy,16021.54262408788,26662.179858711468,0.5033873455826319,0.6787827199126433,42
graph_gru,cicv5g,5,speed_mean_kmh,3.9800693874172963,7.41175032083793,0.504143278603599,0.5251966350117073,42
graph_gru,cicv5g,5,vehicle_count,1.0463099204849027,1.689888873250352,0.23210196196837984,0.9249203645918509,42
graph_gru,cicv5g,5,flow_proxy,14064.081986470252,23374.95183756366,0.4384299539113278,0.7507132339791185,42
graph_gru,cicv5g,10,speed_mean_kmh,4.427106169024479,7.822902538302215,0.552400614592858,0.4745909548118663,42
graph_gru,cicv5g,10,vehicle_count,1.3407816614274153,2.227789300775521,0.2954209117056384,0.8672999920887703,42
graph_gru,cicv5g,10,flow_proxy,17118.422492938887,28514.212336190183,0.522896718218671,0.6410052825381621,42
graph_gru,cicv5g,30,speed_mean_kmh,4.4884552781832285,7.745445702980354,0.5706015022618584,0.4779700610059101,42
graph_gru,cicv5g,30,vehicle_count,1.65037968058465,2.8139868722324675,0.370103513369775,0.7775427659515936,42
graph_gru,cicv5g,30,flow_proxy,16021.54262408788,26662.179858711468,0.5033873455826319,0.6787827199126433,42
graph_gru,see_v2x,5,speed_mean_kmh,3.981824523443242,7.412411059026261,0.5043655963434135,0.5251119762778573,42
graph_gru,see_v2x,5,vehicle_count,1.0486718067885221,1.7007522573023437,0.2326258970226917,0.9239519689607492,42
graph_gru,see_v2x,5,flow_proxy,14038.079098368757,23329.36785929334,0.43761934678866826,0.7516845645318242,42
graph_gru,see_v2x,10,speed_mean_kmh,4.427447301766454,7.823439718360088,0.5524431800812675,0.47451879516261397,42
graph_gru,see_v2x,10,vehicle_count,1.3426218592907233,2.2351539212726825,0.2958263714058542,0.8664211831714087,42
graph_gru,see_v2x,10,flow_proxy,17078.9904324402,28443.077277423912,0.5216922325228736,0.6427942329756232,42
graph_gru,see_v2x,30,speed_mean_kmh,4.501074810116711,7.756240469615275,0.572205778885508,0.47651394900279764,42
graph_gru,see_v2x,30,vehicle_count,1.6539120962835847,2.8174901915206156,0.3708956701542036,0.7769885175634368,42
