model,seed,training_seconds,epochs_completed,seconds_per_epoch
dcrnn,42,339.395705788,12,28.28297548233333
graph_wavenet,42,117.49430227200003,12,9.791191856000003
graph_gru,42,31.718573651999918,10,3.1718573651999917
ca_dtnet,42,102.83716435399992,26,3.95527555207692
dcrnn,52,348.436502206,13,26.802807862
graph_wavenet,52,127.53001082299988,13,9.810000832538453
graph_gru,52,36.33581818200014,11,3.303256198363649
ca_dtnet,52,131.97480715799998,33,3.9992365805454537
dcrnn,62,403.3469587899999,15,26.88979725266666
graph_wavenet,62,157.03712617200017,16,9.81482038575001
graph_gru,62,42.418164939000235,13,3.2629357645384798
ca_dtnet,62,136.91414550499985,34,4.026886632499996
