domain,communication_metric,baseline,horizon_s,target,severity,samples,ca_dtnet_MAE,baseline_MAE,ca_dtnet_improvement_pct
cicv5g,latency_mean_ms,impaired_gru,5,flow_proxy,Q1-mild,19,13021.156498031565,14975.636196224237,13.051062890297402
cicv5g,latency_mean_ms,impaired_gru,5,flow_proxy,Q2-moderate,18,14789.066554932102,15826.275553968913,6.5537150259970325
cicv5g,latency_mean_ms,impaired_gru,5,flow_proxy,Q3-high,19,14269.807336337626,15538.474922267702,8.164685352171668
cicv5g,latency_mean_ms,impaired_gru,5,flow_proxy,Q4-severe,18,10360.746784320228,10151.561598282256,-2.060620762752029
cicv5g,latency_mean_ms,impaired_gru,5,speed_mean_kmh,Q1-mild,19,3.607514404245196,4.093779208172694,11.878139440664503
cicv5g,latency_mean_ms,impaired_gru,5,speed_mean_kmh,Q2-moderate,18,4.516134296801653,4.67537736467283,3.4059938933233287
cicv5g,latency_mean_ms,impaired_gru,5,speed_mean_kmh,Q3-high,19,3.945838957631851,4.185673658813472,5.729894878537143
cicv5g,latency_mean_ms,impaired_gru,5,speed_mean_kmh,Q4-severe,18,2.9469533635852936,2.8797476297647804,-2.333736918211438
cicv5g,latency_mean_ms,impaired_gru,5,vehicle_count,Q1-mild,19,1.0339920138461944,1.173483431740207,11.886952378906598
cicv5g,latency_mean_ms,impaired_gru,5,vehicle_count,Q2-moderate,18,1.1086861379099613,1.1410278607869406,2.834437589563347
cicv5g,latency_mean_ms,impaired_gru,5,vehicle_count,Q3-high,19,0.9683210952277246,1.0379502881495573,6.708335943056869
cicv5g,latency_mean_ms,impaired_gru,5,vehicle_count,Q4-severe,18,0.7573988331536279,0.7960622076132041,4.856828223238482
cicv5g,latency_mean_ms,impaired_gru,10,flow_proxy,Q1-mild,19,16438.278830532374,19920.84873159578,17.482035770584773
cicv5g,latency_mean_ms,impaired_gru,10,flow_proxy,Q2-moderate,18,17240.44898135148,17429.60528537685,1.0852586787146477
cicv5g,latency_mean_ms,impaired_gru,10,flow_proxy,Q3-high,19,16218.66137048197,17785.460770057445,8.809439461992264
cicv5g,latency_mean_ms,impaired_gru,10,flow_proxy,Q4-severe,18,13461.36420348317,13063.863629378817,-3.042748955294706
cicv5g,latency_mean_ms,impaired_gru,10,speed_mean_kmh,Q1-mild,19,4.304547688555816,4.988956326452173,13.718473198405745
cicv5g,latency_mean_ms,impaired_gru,10,speed_mean_kmh,Q2-moderate,18,4.442616634020693,4.437819299510782,-0.10810116805860032
cicv5g,latency_mean_ms,impaired_gru,10,speed_mean_kmh,Q3-high,19,4.435928875533188,4.809086789400546,7.759433951449411
cicv5g,latency_mean_ms,impaired_gru,10,speed_mean_kmh,Q4-severe,18,3.5382123419998304,3.3853624265048676,-4.515023675065314
cicv5g,latency_mean_ms,impaired_gru,10,vehicle_count,Q1-mild,19,1.371064820582939,1.5369576874260336,10.793587040223546
cicv5g,latency_mean_ms,impaired_gru,10,vehicle_count,Q2-moderate,18,1.4934155692691904,1.47405437016864,-1.3134657283359807
cicv5g,latency_mean_ms,impaired_gru,10,vehicle_count,Q3-high,19,1.1487859222837054,1.2564709982944797,8.570438577563754
cicv5g,latency_mean_ms,impaired_gru,10,vehicle_count,Q4-severe,18,1.0738369171852737,1.0989875138232246,2.2885243092164873
cicv5g,latency_mean_ms,impaired_gru,30,flow_proxy,Q1-mild,19,14825.536062410003,14726.77147378934,-0.6706465758389519
cicv5g,latency_mean_ms,impaired_gru,30,flow_proxy,Q2-moderate,18,14222.489790244214,15813.62187915136,10.061781551789126
cicv5g,latency_mean_ms,impaired_gru,30,flow_proxy,Q3-high,19,16203.51105907118,14236.935918500196,-13.813190926947522
cicv5g,latency_mean_ms,impaired_gru,30,flow_proxy,Q4-severe,18,13867.483742588922,15168.026726065536,8.57423979376853
