domain,communication_metric,model,horizon_s,target,samples,severity_error_rho,p_value
cicv5g,latency_mean_ms,ca_dtnet,5,flow_proxy,74,-0.3380821917808219,0.003218542049541991
cicv5g,latency_mean_ms,ca_dtnet,5,speed_mean_kmh,74,-0.24656053313587556,0.0342007454593596
cicv5g,latency_mean_ms,ca_dtnet,5,vehicle_count,74,-0.5767789707515734,7.513519588275329e-08
cicv5g,latency_mean_ms,ca_dtnet,10,flow_proxy,74,-0.43223991114402066,0.00012020042063798997
cicv5g,latency_mean_ms,ca_dtnet,10,speed_mean_kmh,74,-0.33852647167715655,0.0031759608015780602
cicv5g,latency_mean_ms,ca_dtnet,10,vehicle_count,74,-0.5518696778970751,3.457434249484234e-07
cicv5g,latency_mean_ms,ca_dtnet,30,flow_proxy,74,-0.08134764901888188,0.49081785397525723
cicv5g,latency_mean_ms,ca_dtnet,30,speed_mean_kmh,74,0.22102924842650865,0.05842786093315859
cicv5g,latency_mean_ms,ca_dtnet,30,vehicle_count,74,-0.8034209552017769,7.087472873916076e-18
cicv5g,latency_mean_ms,graph_gru,5,flow_proxy,74,-0.6627027027027026,1.2619200297072014e-10
cicv5g,latency_mean_ms,graph_gru,5,speed_mean_kmh,74,-0.4898482043687522,9.44126381113849e-06
cicv5g,latency_mean_ms,graph_gru,5,vehicle_count,74,-0.6552684191040353,2.3792655621520544e-10
cicv5g,latency_mean_ms,graph_gru,10,flow_proxy,74,-0.7083746760459088,1.6693804939413422e-12
cicv5g,latency_mean_ms,graph_gru,10,speed_mean_kmh,74,-0.5051610514624213,4.428820317919079e-06
cicv5g,latency_mean_ms,graph_gru,10,vehicle_count,74,-0.7470566456867825,2.117236964979527e-14
cicv5g,latency_mean_ms,graph_gru,30,flow_proxy,74,-0.27721584598296917,0.016794782998193463
cicv5g,latency_mean_ms,graph_gru,30,speed_mean_kmh,74,0.16824879674194737,0.15187850406126968
cicv5g,latency_mean_ms,graph_gru,30,vehicle_count,74,-0.7662495372084412,1.7878178970867685e-15
cicv5g,latency_mean_ms,historical_average,5,flow_proxy,74,-0.30982599037393554,0.007224920094780417
cicv5g,latency_mean_ms,historical_average,5,speed_mean_kmh,74,-0.29060348019252125,0.012012827264561831
cicv5g,latency_mean_ms,historical_average,5,vehicle_count,74,-0.6678859681599406,8.023794223817585e-11
cicv5g,latency_mean_ms,historical_average,10,flow_proxy,74,-0.25793409848204363,0.02650392735455738
cicv5g,latency_mean_ms,historical_average,10,speed_mean_kmh,74,-0.2955201777119585,0.010580712942181287
cicv5g,latency_mean_ms,historical_average,10,vehicle_count,74,-0.6387115883006292,9.186529979684908e-10
cicv5g,latency_mean_ms,historical_average,30,flow_proxy,74,0.39808959644576075,0.00044379519577542997
cicv5g,latency_mean_ms,historical_average,30,speed_mean_kmh,74,-0.023650499814883374,0.8414699658399838
cicv5g,latency_mean_ms,historical_average,30,vehicle_count,74,-0.6706108848574601,6.301231088930142e-11
cicv5g,latency_mean_ms,impaired_gru,5,flow_proxy,74,-0.5267826730840429,1.4260813017207025e-06
cicv5g,latency_mean_ms,impaired_gru,5,speed_mean_kmh,74,-0.4803109959274342,1.4857025959824226e-05
