domain,communication_metric,horizon_s,target,severity,samples,PICP,MPIW,coverage_error_from_0_8
cicv5g,latency_mean_ms,5,flow_proxy,Q1-mild,19,0.817083692838654,36218.05985430082,0.017083692838653963
cicv5g,latency_mean_ms,5,flow_proxy,Q2-moderate,18,0.8087431693989071,38284.44402460857,0.008743169398907069
cicv5g,latency_mean_ms,5,flow_proxy,Q3-high,19,0.7920621225194132,33728.26145781381,-0.00793787748058683
cicv5g,latency_mean_ms,5,flow_proxy,Q4-severe,18,0.8679417122040073,29860.43139209478,0.06794171220400724
cicv5g,latency_mean_ms,5,speed_mean_kmh,Q1-mild,19,0.7860224331320103,9.649825970368203,-0.013977566867989788
cicv5g,latency_mean_ms,5,speed_mean_kmh,Q2-moderate,18,0.7887067395264117,11.02256585477843,-0.011293260473588362
cicv5g,latency_mean_ms,5,speed_mean_kmh,Q3-high,19,0.7929249352890423,9.728329873776689,-0.007075064710957757
cicv5g,latency_mean_ms,5,speed_mean_kmh,Q4-severe,18,0.8224043715846994,8.046602849795416,0.022404371584699323
cicv5g,latency_mean_ms,5,vehicle_count,Q1-mild,19,0.7886108714408974,2.6753007775808855,-0.01138912855910268
cicv5g,latency_mean_ms,5,vehicle_count,Q2-moderate,18,0.7896174863387979,2.6664888690991564,-0.01038251366120213
cicv5g,latency_mean_ms,5,vehicle_count,Q3-high,19,0.8213977566867989,2.4564728147626647,0.021397756686798886
cicv5g,latency_mean_ms,5,vehicle_count,Q4-severe,18,0.8652094717668488,2.3237871116260056,0.06520947176684877
cicv5g,latency_mean_ms,10,flow_proxy,Q1-mild,19,0.7644521138912856,38035.021192339234,-0.0355478861087144
cicv5g,latency_mean_ms,10,flow_proxy,Q2-moderate,18,0.7859744990892532,41100.64683838355,-0.014025500910746835
cicv5g,latency_mean_ms,10,flow_proxy,Q3-high,19,0.7868852459016393,36518.17819962313,-0.013114754098360715
cicv5g,latency_mean_ms,10,flow_proxy,Q4-severe,18,0.7877959927140255,32358.005612366742,-0.012204007285974594
cicv5g,latency_mean_ms,10,speed_mean_kmh,Q1-mild,19,0.7402933563416738,10.2509223319081,-0.05970664365832623
cicv5g,latency_mean_ms,10,speed_mean_kmh,Q2-moderate,18,0.7841530054644809,11.566677163698724,-0.015846994535519188
cicv5g,latency_mean_ms,10,speed_mean_kmh,Q3-high,19,0.7817083692838654,10.476313566742093,-0.0182916307161346
cicv5g,latency_mean_ms,10,speed_mean_kmh,Q4-severe,18,0.7650273224043715,8.689219397489458,-0.0349726775956285
cicv5g,latency_mean_ms,10,vehicle_count,Q1-mild,19,0.7730802415875755,3.2092635516064254,-0.026919758412424555
cicv5g,latency_mean_ms,10,vehicle_count,Q2-moderate,18,0.7632058287795993,3.179516937229451,-0.03679417122040074
cicv5g,latency_mean_ms,10,vehicle_count,Q3-high,19,0.82053494391717,2.903034624894468,0.020534943917169923
cicv5g,latency_mean_ms,10,vehicle_count,Q4-severe,18,0.8214936247723132,2.751846945218863,0.021493624772313202
cicv5g,latency_mean_ms,30,flow_proxy,Q1-mild,19,0.7981018119068162,35996.91424765215,-0.0018981880931838724
cicv5g,latency_mean_ms,30,flow_proxy,Q2-moderate,18,0.8096539162112932,38370.0130088688,0.00965391621129319
cicv5g,latency_mean_ms,30,flow_proxy,Q3-high,19,0.7989646246764451,40401.75706030407,-0.0010353753235549101
cicv5g,latency_mean_ms,30,flow_proxy,Q4-severe,18,0.8296903460837888,34792.962121690594,0.029690346083788732
cicv5g,latency_mean_ms,30,speed_mean_kmh,Q1-mild,19,0.8231233822260569,10.975760218179573,0.02312338222605681
cicv5g,latency_mean_ms,30,speed_mean_kmh,Q2-moderate,18,0.7987249544626595,11.94885418084108,-0.0012750455373405911
cicv5g,latency_mean_ms,30,speed_mean_kmh,Q3-high,19,0.7851596203623813,11.465445780965991,-0.01484037963761875
cicv5g,latency_mean_ms,30,speed_mean_kmh,Q4-severe,18,0.825136612021858,9.882780869115953,0.025136612021857907
cicv5g,latency_mean_ms,30,vehicle_count,Q1-mild,19,0.7161345987920621,3.7075552238304126,-0.08386540120793795
cicv5g,latency_mean_ms,30,vehicle_count,Q2-moderate,18,0.7204007285974499,3.670411163589644,-0.07959927140255019
cicv5g,latency_mean_ms,30,vehicle_count,Q3-high,19,0.7860224331320104,3.4650529320385375,-0.013977566867989677
