domain,communication_metric,model,horizon_s,target,severity,samples,communication_mean,MAE,MAE_CI_lower,MAE_CI_upper,RMSE,RMSE_CI_lower,RMSE_CI_upper
cicv5g,latency_mean_ms,ca_dtnet,5,flow_proxy,Q1-mild,19,171.60300600140215,13021.156498031565,12167.894959656036,13798.650628113073,21275.24422674045,19944.725049931792,22575.506831249513
cicv5g,latency_mean_ms,ca_dtnet,5,flow_proxy,Q2-moderate,18,194.70449187218318,14789.066554932102,13799.077149616234,15934.731134995876,26201.387102771678,23692.23422740005,28442.464620666535
cicv5g,latency_mean_ms,ca_dtnet,5,flow_proxy,Q3-high,19,289.82927430382347,14269.807336337626,13277.13112420259,15149.791078161183,25338.00153877422,23675.041347354385,26813.78519208458
cicv5g,latency_mean_ms,ca_dtnet,5,flow_proxy,Q4-severe,18,408.3732159313111,10360.746784320228,9648.641560908698,11025.1338111299,18579.5093371577,17381.436499458927,19763.203382274423
cicv5g,latency_mean_ms,ca_dtnet,5,speed_mean_kmh,Q1-mild,19,171.60300600140215,3.607514404245196,3.2954771991685092,3.9714042710994053,7.602932560473818,6.639253218400859,8.533602339713767
cicv5g,latency_mean_ms,ca_dtnet,5,speed_mean_kmh,Q2-moderate,18,194.70449187218318,4.516134296801653,3.9190254292973052,5.204627013933088,8.77046960831502,7.262770919044674,10.194549811084277
cicv5g,latency_mean_ms,ca_dtnet,5,speed_mean_kmh,Q3-high,19,289.82927430382347,3.945838957631851,3.5595015692934737,4.367155408415035,7.511356817544768,6.740493370383803,8.271783864226178
cicv5g,latency_mean_ms,ca_dtnet,5,speed_mean_kmh,Q4-severe,18,408.3732159313111,2.9469533635852936,2.783541556616812,3.1119279943421754,5.4860577938223045,5.140098747846213,5.877135069996679
cicv5g,latency_mean_ms,ca_dtnet,5,vehicle_count,Q1-mild,19,171.60300600140215,1.0339920138461944,0.9932901975457255,1.0712504520477193,1.6383198323710848,1.577772016916259,1.691142444276744
cicv5g,latency_mean_ms,ca_dtnet,5,vehicle_count,Q2-moderate,18,194.70449187218318,1.1086861379099613,1.0527496621594155,1.1674445472449448,2.047677983292372,1.878455429726812,2.199250991910158
