baseline,horizon_s,target,paired_samples,mean_CA_gain_cicv5g,mean_CA_gain_see_v2x,difference_in_difference,CI_lower,CI_upper,wilcoxon_statistic,wilcoxon_p_value
impaired_gru,5,speed_mean_kmh,74,0.20881841364844875,0.21160193447060033,0.0027835208221516443,-0.004273847176185153,0.010600123274990892,1266.0,0.5127580630051929
impaired_gru,5,vehicle_count,74,0.07096463996701434,0.0731494010767332,0.002184761109718865,-0.0009308985915785784,0.006146330765691207,1244.0,0.43948192791747664
impaired_gru,5,flow_proxy,74,1028.9760409771793,1056.3724192154334,27.39637823825411,-10.251987545781162,66.57821448854388,1215.0,0.3527345694069607
impaired_gru,10,speed_mean_kmh,74,0.23319072950571357,0.24553226477056797,0.012341535264854412,0.003241546037463954,0.022241639825256142,1020.0,0.047724971984842414
impaired_gru,10,vehicle_count,74,0.07165121716076654,0.0747608931594471,0.0031096759986805837,-0.0009213702717021871,0.00758317690119507,1205.0,0.3255235034764683
impaired_gru,10,flow_proxy,74,1245.781349334013,1282.0474731832005,36.26612384918782,-17.12491054997758,90.78993502652315,1136.0,0.17545265877655836
impaired_gru,30,speed_mean_kmh,74,0.3820187348073012,0.3769876712939289,-0.005031063513372341,-0.013096011786321755,0.0036001115143108695,1022.0,0.048949103021900094
impaired_gru,30,vehicle_count,74,0.0003558568455844355,0.012805809068904042,0.012449952223319606,0.0073070870091496674,0.017668097861985022,623.0,3.8127730995555065e-05
impaired_gru,30,flow_proxy,74,173.09049254414109,259.5669293798208,86.47643683567969,34.26808143783178,134.19291498765836,772.0,0.0009136690994166295
graph_gru,5,speed_mean_kmh,74,0.19857654519231638,0.20607544094716418,0.007498895754847772,-0.0005030318492669178,0.016138717255782316,1043.0,0.06346741726812391
graph_gru,5,vehicle_count,74,0.051225034624170884,0.054837444392522215,0.0036124097683513266,0.00034178907026358537,0.008353588379145961,1135.0,0.17374226146602179
graph_gru,5,flow_proxy,74,395.21351856300083,446.5307328516862,51.31721428868531,10.198840898651708,92.34818845524984,839.0,0.003127715222363417
graph_gru,10,speed_mean_kmh,74,0.28840308406823584,0.30118068465606,0.012777600587824125,0.0032281917209985465,0.02272995215446571,1000.0,0.03683809230676418
graph_gru,10,vehicle_count,74,0.07958457936302418,0.08347781129190127,0.0038932319288770894,-0.0005315130413090132,0.008863502812318172,1041.0,0.06194667289810373
graph_gru,10,flow_proxy,74,1529.0896940869131,1622.4782425262351,93.38854843932198,23.77748564922953,161.9087374015766,902.0,0.008909612781753342
graph_gru,30,speed_mean_kmh,74,0.31042837829197506,0.3079706015239571,-0.0024577767680178508,-0.01129234546407865,0.006690711685476882,1184.0,0.2729464110963338
graph_gru,30,vehicle_count,74,0.007066965694454742,0.014268078265427461,0.007201112570972719,0.0007371661471399299,0.01332434060500976,929.0,0.01350950478189941
graph_gru,30,flow_proxy,74,1119.0080937058508,1184.4627930738711,65.45469936802012,9.820803111711722,118.31859848201441,986.0,0.030543085310003007
persistence,5,speed_mean_kmh,74,0.7692879335348324,0.7724078670606785,0.0031199335258461245,-0.004580563944257289,0.011739939026032974,1368.0,0.9163352606530994
persistence,5,vehicle_count,74,0.08913557281900633,0.09211268827235622,0.002977115453349895,-0.0005719043993596487,0.008416027572105167,1243.0,0.4363004772286577
persistence,5,flow_proxy,74,2942.933520409494,2975.063980140285,32.130459730790704,-5.216782939046762,71.45343387209086,1114.0,0.1406407781474791
persistence,10,speed_mean_kmh,74,1.1050271734382713,1.1158851908533116,0.010858017415040028,0.0012350341412762944,0.02215310300157924,1117.0,0.14504812344106338
persistence,10,vehicle_count,74,0.22167700220317052,0.2243028694807813,0.0026258672776107704,-0.0013577849994019955,0.008084861505345185,1344.0,0.8147173376350514
persistence,10,flow_proxy,74,4884.578228608999,4940.634515316062,56.056286707062,-7.091388243064187,124.54254518838825,1061.0,0.07858896924623315
persistence,30,speed_mean_kmh,74,3.0361559307957804,3.033228892146228,-0.0029270386495525652,-0.012403625489455691,0.009315521076133036,1024.0,0.050199481563578154
persistence,30,vehicle_count,74,0.7817725649127469,0.7971663194741421,0.015393754561395138,0.009689743601910298,0.021760126645004246,542.0,5.240851689386083e-06
persistence,30,flow_proxy,74,14344.96334677996,14394.469741865574,49.506395085612255,-27.89451779917429,132.50753893062722,1066.0,0.0832742123904017
