model,horizon_s,target,predictor,samples,coefficient,robust_SE,t_value,p_value,CI_lower,CI_upper,R2,adjusted_R2
ca_dtnet,5,flow_proxy,const,74,-5.911910090493517,14.81336454607977,-0.3990929995750394,0.6898246802328384,-34.94557109067239,23.121750909685357,0.22453638747332882,0.17958197515294205
ca_dtnet,5,flow_proxy,delta_latency_mean_ms_see_minus_cic,74,-231.3283830264379,171.71195094055196,-1.3471886013718732,0.17791949812958818,-567.8776225850283,105.2208565321526,0.22453638747332882,0.17958197515294205
ca_dtnet,5,flow_proxy,delta_latency_p95_ms_see_minus_cic,74,123.08341068998476,190.30315037733476,0.6467754761071159,0.5177772664831077,-249.90391019410134,496.07073157407086,0.22453638747332882,0.17958197515294205
ca_dtnet,5,flow_proxy,delta_aoi_mean_s_see_minus_cic,74,130.9391713972115,110.60739036162444,1.1838193720068206,0.23648457209638418,-85.84733013553509,347.72567292995814,0.22453638747332882,0.17958197515294205
ca_dtnet,5,flow_proxy,delta_aoi_p95_s_see_minus_cic,74,33.596142151762976,129.32269456537756,0.25978535526708224,0.7950293480228648,-219.87168158005085,287.06396588357677,0.22453638747332882,0.17958197515294205
ca_dtnet,5,speed_mean_kmh,const,74,0.002039688440432798,0.002618828239496678,0.7788553711429402,0.4360649159346255,-0.003093120590677126,0.0071724974715427214,0.26000042888926655,0.21710190302777477
ca_dtnet,5,speed_mean_kmh,delta_latency_mean_ms_see_minus_cic,74,-0.09733141369869486,0.02788079208083459,-3.4909845249913474,0.00048124412684926837,-0.1519767620375802,-0.04268606535980951,0.26000042888926655,0.21710190302777477
ca_dtnet,5,speed_mean_kmh,delta_latency_p95_ms_see_minus_cic,74,0.055296784558572926,0.030060361724561495,1.8395249220634442,0.06583801572352738,-0.0036204417838139533,0.11421401090095981,0.26000042888926655,0.21710190302777477
ca_dtnet,5,speed_mean_kmh,delta_aoi_mean_s_see_minus_cic,74,0.08659409167325212,0.02111316203565564,4.101426945287169,4.106101464186269e-05,0.04521305448360869,0.12797512886289555,0.26000042888926655,0.21710190302777477
ca_dtnet,5,speed_mean_kmh,delta_aoi_p95_s_see_minus_cic,74,-0.04126531795974556,0.025226612155293433,-1.6357851663044907,0.10188455762083655,-0.09070856923608103,0.00817793331658992,0.26000042888926655,0.21710190302777477
ca_dtnet,5,vehicle_count,const,74,-0.0007617849969324001,0.0009135799494653371,-0.833846011373418,0.40436776362343774,-0.002552368794882383,0.0010287988010175832,0.06625160423627385,0.012121262452869375
ca_dtnet,5,vehicle_count,delta_latency_mean_ms_see_minus_cic,74,-0.009011424186557378,0.007518538770722813,-1.1985605795700436,0.2306988540859065,-0.02374748939354214,0.005724641020427386,0.06625160423627385,0.012121262452869375
ca_dtnet,5,vehicle_count,delta_latency_p95_ms_see_minus_cic,74,0.0030202606580946923,0.008989009413900151,0.3359948264626704,0.7368747678052547,-0.014597874049841105,0.02063839536603049,0.06625160423627385,0.012121262452869375
ca_dtnet,5,vehicle_count,delta_aoi_mean_s_see_minus_cic,74,-0.002869324370839264,0.006606617863136765,-0.4343106306858399,0.6640628851741578,-0.015818057442206296,0.010079408700527766,0.06625160423627385,0.012121262452869375
ca_dtnet,5,vehicle_count,delta_aoi_p95_s_see_minus_cic,74,0.007819591217660807,0.008624554024501267,0.9066661528754226,0.3645833674614084,-0.009084224053081656,0.02472340648840327,0.06625160423627385,0.012121262452869375
ca_dtnet,10,flow_proxy,const,74,-31.920209504004553,18.56453692314309,-1.7194185686480492,0.08553818352029975,-68.30603326302904,4.465614255019936,0.3975827650379907,0.3626600267793235
ca_dtnet,10,flow_proxy,delta_latency_mean_ms_see_minus_cic,74,-598.7377724441277,200.3591033816643,-2.9883232772488073,0.0028051267256939236,-991.4343990469272,-206.04114584132827,0.3975827650379907,0.3626600267793235
ca_dtnet,10,flow_proxy,delta_latency_p95_ms_see_minus_cic,74,337.3560366583164,219.88981913821604,1.5342048939804014,0.12497925404225174,-93.62008941961335,768.3321627362461,0.3975827650379907,0.3626600267793235
ca_dtnet,10,flow_proxy,delta_aoi_mean_s_see_minus_cic,74,472.6623815361887,134.100115668924,3.5246977914853677,0.0004239661705922309,209.83098450244233,735.4937785699351,0.3975827650379907,0.3626600267793235
ca_dtnet,10,flow_proxy,delta_aoi_p95_s_see_minus_cic,74,-114.48591037081825,152.46519872695134,-0.7508986399962008,0.45271365889231907,-413.312208771385,184.34038802974845,0.3975827650379907,0.3626600267793235
ca_dtnet,10,speed_mean_kmh,const,74,-0.0070064084372424215,0.0029021229380504364,-2.414235574027449,0.015768263750092146,-0.012694464874528844,-0.0013183519999559997,0.4201137094155095,0.38649711285988686
ca_dtnet,10,speed_mean_kmh,delta_latency_mean_ms_see_minus_cic,74,-0.15163780053195797,0.030580825906949907,-4.958590752040357,7.100636762543579e-07,-0.21157511792706923,-0.09170048313684671,0.4201137094155095,0.38649711285988686
ca_dtnet,10,speed_mean_kmh,delta_latency_p95_ms_see_minus_cic,74,0.10261465647486291,0.032542127943538515,3.1532866152115853,0.0016144321036504318,0.038833257725232925,0.1663960552244929,0.4201137094155095,0.38649711285988686
ca_dtnet,10,speed_mean_kmh,delta_aoi_mean_s_see_minus_cic,74,0.12292732559444465,0.028908027687133315,4.252359480379162,2.1152994660432046e-05,0.06626863246357664,0.17958601872531266,0.4201137094155095,0.38649711285988686
ca_dtnet,10,speed_mean_kmh,delta_aoi_p95_s_see_minus_cic,74,-0.06446379027753427,0.027516546878019747,-2.3427281978113332,0.019143323301231162,-0.11839523113736103,-0.010532349417707497,0.4201137094155095,0.38649711285988686
ca_dtnet,10,vehicle_count,const,74,-0.00041053678556420285,0.0012148423914968497,-0.33793419495212557,0.7354127780311027,-0.0027915841197905366,0.0019705105486621313,0.07395813679850705,0.020274550525956725
ca_dtnet,10,vehicle_count,delta_latency_mean_ms_see_minus_cic,74,-0.02241742417311243,0.011598039579700764,-1.9328632239148482,0.05325304933224627,-0.04514916404059599,0.000314315694371136,0.07395813679850705,0.020274550525956725
ca_dtnet,10,vehicle_count,delta_latency_p95_ms_see_minus_cic,74,0.01739891156829781,0.013214113846649245,1.316691514104801,0.18794204922020163,-0.008500275658746743,0.04329809879534237,0.07395813679850705,0.020274550525956725
ca_dtnet,10,vehicle_count,delta_aoi_mean_s_see_minus_cic,74,0.008542448714870268,0.008454767211872327,1.0103706584463754,0.31231774000748813,-0.00802859051806962,0.025113487947810157,0.07395813679850705,0.020274550525956725
ca_dtnet,10,vehicle_count,delta_aoi_p95_s_see_minus_cic,74,-0.002088229119620283,0.010711238994586614,-0.19495682251844623,0.8454267496038521,-0.023081871778811065,0.0189054135395705,0.07395813679850705,0.020274550525956725
ca_dtnet,30,flow_proxy,const,74,-43.41827465218617,16.180894570276337,-2.6833049596617373,0.007289848250792129,-75.13224524756751,-11.704304056804837,0.5899700057111108,0.5662001509697259
ca_dtnet,30,flow_proxy,delta_latency_mean_ms_see_minus_cic,74,1446.0632547498324,165.96413001601664,8.713107191356817,2.95656840059893e-18,1120.779537192917,1771.3469723067478,0.5899700057111108,0.5662001509697259
ca_dtnet,30,flow_proxy,delta_latency_p95_ms_see_minus_cic,74,-1459.4005968591123,201.4416676929181,-7.244780156823628,4.3314120203440644e-13,-1854.2190105229174,-1064.5821831953072,0.5899700057111108,0.5662001509697259
ca_dtnet,30,flow_proxy,delta_aoi_mean_s_see_minus_cic,74,-950.0041816707713,133.9783314151217,-7.090730057887163,1.3340634179878682e-12,-1212.596885953181,-687.4114773883616,0.5899700057111108,0.5662001509697259
ca_dtnet,30,flow_proxy,delta_aoi_p95_s_see_minus_cic,74,938.8317472995743,154.74828618293256,6.066831306873107,1.3045845542493772e-09,635.5306797117292,1242.1328148874195,0.5899700057111108,0.5662001509697259
ca_dtnet,30,speed_mean_kmh,const,74,0.0043371024682111415,0.002690939117324073,1.6117430677971074,0.10701786162048278,-0.0009370412863340446,0.009611246222756328,0.3922082171079456,0.35697391085333374
ca_dtnet,30,speed_mean_kmh,delta_latency_mean_ms_see_minus_cic,74,0.16115430659821492,0.025999123921366236,6.19845142034872,5.702139956124341e-10,0.11019696008274332,0.21211165311368652,0.3922082171079456,0.35697391085333374
ca_dtnet,30,speed_mean_kmh,delta_latency_p95_ms_see_minus_cic,74,-0.12637327506263069,0.02940732411153117,-4.297340165441212,1.7285981966926803e-05,-0.18401057120292813,-0.06873597892233325,0.3922082171079456,0.35697391085333374
ca_dtnet,30,speed_mean_kmh,delta_aoi_mean_s_see_minus_cic,74,-0.07929321150190999,0.02571128110031013,-3.083985243386163,0.0020424772611835657,-0.1296863964549032,-0.02890002654891676,0.3922082171079456,0.35697391085333374
ca_dtnet,30,speed_mean_kmh,delta_aoi_p95_s_see_minus_cic,74,0.03939424616478082,0.02843062748562877,1.385627038470888,0.16586081755789372,-0.01632875976492612,0.09511725209448776,0.3922082171079456,0.35697391085333374
ca_dtnet,30,vehicle_count,const,74,-0.012735358010131398,0.001781784335757336,-7.1475305706503,8.835284804662163e-13,-0.0162275911364334,-0.009243124883829397,0.549474266067708,0.5233568322165606
ca_dtnet,30,vehicle_count,delta_latency_mean_ms_see_minus_cic,74,0.09067240576912385,0.015381161610171749,5.895029781701343,3.746138101342583e-09,0.06052588297279711,0.12081892856545058,0.549474266067708,0.5233568322165606
ca_dtnet,30,vehicle_count,delta_latency_p95_ms_see_minus_cic,74,-0.04637845424915992,0.015490865515266003,-2.9939227219715185,0.002754156923431875,-0.0767399927484348,-0.01601691574988505,0.549474266067708,0.5233568322165606
ca_dtnet,30,vehicle_count,delta_aoi_mean_s_see_minus_cic,74,-0.04708288743454202,0.012804744401292862,-3.6769876819867005,0.00023600443222115608,-0.07217972529231692,-0.02198604957676711,0.549474266067708,0.5233568322165606
ca_dtnet,30,vehicle_count,delta_aoi_p95_s_see_minus_cic,74,-0.008349580505179966,0.015261745308684108,-0.5470921140604383,0.5843154497669291,-0.03826205165142395,0.021562890641064016,0.549474266067708,0.5233568322165606
graph_gru,5,flow_proxy,const,74,45.405304198191835,15.318767278172565,2.964031202620921,0.0030363749695684903,15.381072045422936,75.42953635096073,0.1367273441758371,0.0866825525338566
graph_gru,5,flow_proxy,delta_latency_mean_ms_see_minus_cic,74,182.6672258448399,160.93679200003388,1.1350246489615714,0.25636499080828923,-132.7630902626404,498.09754195232017,0.1367273441758371,0.0866825525338566
graph_gru,5,flow_proxy,delta_latency_p95_ms_see_minus_cic,74,-120.11135467057065,192.58246869870476,-0.6236878957995124,0.5328325738220128,-497.5660573738443,257.3433480327029,0.1367273441758371,0.0866825525338566
graph_gru,5,flow_proxy,delta_aoi_mean_s_see_minus_cic,74,83.81660633138128,166.84364161399972,0.5023662005969324,0.6154099498342687,-243.1909222815664,410.824134944329,0.1367273441758371,0.0866825525338566
graph_gru,5,flow_proxy,delta_aoi_p95_s_see_minus_cic,74,-177.76959864034657,176.2323599366224,-1.0087227947482347,0.3131075965621086,-523.178677026626,167.63947974593285,0.1367273441758371,0.0866825525338566
graph_gru,5,speed_mean_kmh,const,74,0.009538584195280574,0.0035927039713240703,2.6549875167603036,0.007931134346289585,0.0024970138043713735,0.016580154586189774,0.15521068292685736,0.10623738918348669
graph_gru,5,speed_mean_kmh,delta_latency_mean_ms_see_minus_cic,74,-0.012104544005740486,0.02415598710592349,-0.5010991251428608,0.6163013625244829,-0.059449408744364454,0.03524032073288348,0.15521068292685736,0.10623738918348669
graph_gru,5,speed_mean_kmh,delta_latency_p95_ms_see_minus_cic,74,0.047734586589927755,0.027126429132825466,1.7597077136910928,0.07845737726279839,-0.0054322375395882486,0.10090141071944375,0.15521068292685736,0.10623738918348669
graph_gru,5,speed_mean_kmh,delta_aoi_mean_s_see_minus_cic,74,0.03968918579417617,0.050589491325592685,0.7845341938454683,0.4327267260853047,-0.05946439520018697,0.1388427667885393,0.15521068292685736,0.10623738918348669
graph_gru,5,speed_mean_kmh,delta_aoi_p95_s_see_minus_cic,74,-0.08225329195606129,0.052499873006018966,-1.566733160414144,0.11717707636678087,-0.18515115224078504,0.02064456832866246,0.15521068292685736,0.10623738918348669
graph_gru,5,vehicle_count,const,74,0.0028506247714189287,0.0019085283437902368,1.4936245409684292,0.13527378140339025,-0.000890022045883814,0.006591271588721671,0.10664658866616239,0.0548579851105776
graph_gru,5,vehicle_count,delta_latency_mean_ms_see_minus_cic,74,-0.0030545236384077364,0.01038952706262945,-0.29400025814405817,0.7687577061144731,-0.023417622497565675,0.017308575220750202,0.10664658866616239,0.0548579851105776
graph_gru,5,vehicle_count,delta_latency_p95_ms_see_minus_cic,74,-0.006094555347176667,0.011556360772053267,-0.5273766947389807,0.5979320242091962,-0.028744606252752564,0.01655549555839923,0.10664658866616239,0.0548579851105776
graph_gru,5,vehicle_count,delta_aoi_mean_s_see_minus_cic,74,0.02160226332884737,0.027616297555149168,0.7822288011529461,0.43408012115776695,-0.03252468526558654,0.07572921192328128,0.10664658866616239,0.0548579851105776
graph_gru,5,vehicle_count,delta_aoi_p95_s_see_minus_cic,74,-0.016430824695818618,0.02853207579285579,-0.5758720401244963,0.5647016755232104,-0.07235266565398307,0.03949101626234583,0.10664658866616239,0.0548579851105776
graph_gru,10,flow_proxy,const,74,61.46833893531747,15.459051702548928,3.9762037231030423,7.002414373234141e-05,31.169154363178965,91.76752350745598,0.3436339757928294,0.3055837714909644
graph_gru,10,flow_proxy,delta_latency_mean_ms_see_minus_cic,74,47.78122440941085,145.11129492694306,0.3292729517262355,0.7419493866376481,-236.63168739736741,332.1941362161891,0.3436339757928294,0.3055837714909644
graph_gru,10,flow_proxy,delta_latency_p95_ms_see_minus_cic,74,50.32396814114993,169.36937582388867,0.29712554525487006,0.7663706622682877,-281.6339085577008,382.28184484000064,0.3436339757928294,0.3055837714909644
graph_gru,10,flow_proxy,delta_aoi_mean_s_see_minus_cic,74,-251.26309180072565,173.65954206376324,-1.4468717861093312,0.14793283647762792,-591.6295398174202,89.10335621596886,0.3436339757928294,0.3055837714909644
graph_gru,10,flow_proxy,delta_aoi_p95_s_see_minus_cic,74,70.70727729442625,186.9596501230692,0.3781953873356205,0.7052854518211612,-295.7269035089988,437.14145809785134,0.3436339757928294,0.3055837714909644
graph_gru,10,speed_mean_kmh,const,74,0.005771192150581708,0.0027347009105953995,2.110355881413446,0.03482771359509113,0.0004112768573258348,0.011131107443837582,0.16856097604953613,0.12036161234226284
graph_gru,10,speed_mean_kmh,delta_latency_mean_ms_see_minus_cic,74,0.024334239366114785,0.025641164908099298,0.9490301807008895,0.34260526236890587,-0.02592152037541212,0.07458999910764169,0.16856097604953613,0.12036161234226284
graph_gru,10,speed_mean_kmh,delta_latency_p95_ms_see_minus_cic,74,0.02407513386189892,0.027490551203664636,0.8757603179193284,0.38116034674538213,-0.029805356412438,0.07795562413623583,0.16856097604953613,0.12036161234226284
graph_gru,10,speed_mean_kmh,delta_aoi_mean_s_see_minus_cic,74,-0.02856085274125732,0.02769730296461161,-1.0311781178748363,0.3024573001543195,-0.08284656902079054,0.0257248635382759,0.16856097604953613,0.12036161234226284
graph_gru,10,speed_mean_kmh,delta_aoi_p95_s_see_minus_cic,74,-0.025178854024457548,0.029703168691066914,-0.8476824235937483,0.39661485748698944,-0.08339599488566643,0.03303828683675134,0.16856097604953613,0.12036161234226284
graph_gru,10,vehicle_count,const,74,0.0034826951433128894,0.0018949295326996152,1.837902192780362,0.06607681894907377,-0.0002312984940196711,0.00719668878064545,0.16202081689315007,0.11344231352463696
graph_gru,10,vehicle_count,delta_latency_mean_ms_see_minus_cic,74,-0.012732946106952834,0.01063922971718528,-1.196792102945726,0.23138759707794654,-0.033585453175884246,0.008119560961978578,0.16202081689315007,0.11344231352463696
graph_gru,10,vehicle_count,delta_latency_p95_ms_see_minus_cic,74,-0.002065369520277647,0.011681181661905387,-0.17681169423237547,0.8596563031119575,-0.024960064874481942,0.020829325833926646,0.16202081689315007,0.11344231352463696
graph_gru,10,vehicle_count,delta_aoi_mean_s_see_minus_cic,74,0.017674474846600636,0.026442467375752073,0.6684124667884909,0.5038703397538786,-0.03415180887224878,0.06950075856545006,0.16202081689315007,0.11344231352463696
graph_gru,10,vehicle_count,delta_aoi_p95_s_see_minus_cic,74,-0.008825671364525896,0.027718774119383928,-0.31840049370560164,0.7501811638240043,-0.06315347033411935,0.045502127605067555,0.16202081689315007,0.11344231352463696
graph_gru,30,flow_proxy,const,74,22.036424715833984,10.497395123581814,2.099227899531988,0.03579681572145095,1.4619083421272379,42.61094108954073,0.22770144085374777,0.1829305098887476
graph_gru,30,flow_proxy,delta_latency_mean_ms_see_minus_cic,74,-249.41745371826164,106.03575328011584,-2.3522014603826387,0.01866266405319962,-457.2437112208636,-41.59119621565969,0.22770144085374777,0.1829305098887476
graph_gru,30,flow_proxy,delta_latency_p95_ms_see_minus_cic,74,260.4680190885194,107.13507835310219,2.4312113557247175,0.015048433353188315,50.48712403556232,470.44891414147645,0.22770144085374777,0.1829305098887476
graph_gru,30,flow_proxy,delta_aoi_mean_s_see_minus_cic,74,257.1370071806671,92.12286164020887,2.7912399007417994,0.005250653923106196,76.57951621309127,437.694498148243,0.22770144085374777,0.1829305098887476
graph_gru,30,flow_proxy,delta_aoi_p95_s_see_minus_cic,74,-235.783144440873,99.26624634657553,-2.3752600014476823,0.017536592550191753,-430.34141216064177,-41.22487672110424,0.22770144085374777,0.1829305098887476
graph_gru,30,speed_mean_kmh,const,74,0.001879325700193291,0.003211837722919462,0.5851247361541795,0.5584638473998162,-0.004415760560915992,0.008174411961302573,0.01989694055687985,-0.03692062810648955
graph_gru,30,speed_mean_kmh,delta_latency_mean_ms_see_minus_cic,74,0.002479305240582851,0.031457455536815164,0.07881455121763681,0.9371801298542044,-0.05917617465684498,0.06413478513801069,0.01989694055687985,-0.03692062810648955
graph_gru,30,speed_mean_kmh,delta_latency_p95_ms_see_minus_cic,74,-0.01966624876797445,0.030973146194468084,-0.6349451439158903,0.5254641927652021,-0.08037249979702572,0.04104000226107683,0.01989694055687985,-0.03692062810648955
graph_gru,30,speed_mean_kmh,delta_aoi_mean_s_see_minus_cic,74,0.008906287452820082,0.02786758991726817,0.3195930282905913,0.7492768600367438,-0.04571318512095707,0.06352576002659724,0.01989694055687985,-0.03692062810648955
graph_gru,30,speed_mean_kmh,delta_aoi_p95_s_see_minus_cic,74,0.005934759749503067,0.028145280140068223,0.21086163363690297,0.8329952428994565,-0.049228975659821095,0.06109849515882723,0.01989694055687985,-0.03692062810648955
graph_gru,30,vehicle_count,const,74,-0.005534245439158676,0.0027859986163275377,-1.986449457198165,0.04698343967988708,-0.010994702388139073,-7.378849017827815e-05,0.13240177561495237,0.08210622637523945
graph_gru,30,vehicle_count,delta_latency_mean_ms_see_minus_cic,74,0.025336213469517466,0.02416331933899871,1.0485402735470102,0.29438975718452853,-0.022023022181860193,0.07269544912089512,0.13240177561495237,0.08210622637523945
graph_gru,30,vehicle_count,delta_latency_p95_ms_see_minus_cic,74,-0.03466038555923532,0.02153783690453671,-1.6092788571509002,0.1075553800683369,-0.0768737701970249,0.007552999078554272,0.13240177561495237,0.08210622637523945
graph_gru,30,vehicle_count,delta_aoi_mean_s_see_minus_cic,74,-0.0266947338342944,0.024976565598447735,-1.0687912126699055,0.2851637597971831,-0.07564790286475406,0.02225843519616526,0.13240177561495237,0.08210622637523945
graph_gru,30,vehicle_count,delta_aoi_p95_s_see_minus_cic,74,0.028010609028756652,0.027410833897491417,1.0218809516524825,0.3068372489969624,-0.025713638196536204,0.08173485625404951,0.13240177561495237,0.08210622637523945
impaired_gru,5,flow_proxy,const,74,21.484468147760612,10.454532581936087,2.055038614053645,0.03987527521742144,0.9939608119653407,41.97497548355588,0.2680119468595291,0.2255778568224004
impaired_gru,5,flow_proxy,delta_latency_mean_ms_see_minus_cic,74,-9.05303176906025,85.10614353942374,-0.1063734225586971,0.915286079142817,-175.85800796942698,157.75194443130647,0.2680119468595291,0.2255778568224004
impaired_gru,5,flow_proxy,delta_latency_p95_ms_see_minus_cic,74,-251.3917477983271,97.86436017830982,-2.56877730912754,0.010205801865575487,-443.2023691178702,-59.58112647878397,0.2680119468595291,0.2255778568224004
impaired_gru,5,flow_proxy,delta_aoi_mean_s_see_minus_cic,74,142.63955991877702,133.80202397962506,1.066049344219918,0.28640133659163003,-119.6075881398528,404.88670797740684,0.2680119468595291,0.2255778568224004
impaired_gru,5,flow_proxy,delta_aoi_p95_s_see_minus_cic,74,92.35494015397431,113.46574760964843,0.8139455483226465,0.4156761456103598,-130.03383863984834,314.743718947797,0.2680119468595291,0.2255778568224004
impaired_gru,5,speed_mean_kmh,const,74,0.004823209262584444,0.0031071791051706867,1.5522791249973633,0.12059545054574093,-0.001266749877065495,0.010913168402234382,0.15137198092389093,0.10217615373107303
impaired_gru,5,speed_mean_kmh,delta_latency_mean_ms_see_minus_cic,74,-0.004623617113632284,0.018392460789984577,-0.2513865418242472,0.8015152717662549,-0.04067217784906717,0.03142494362180259,0.15137198092389093,0.10217615373107303
impaired_gru,5,speed_mean_kmh,delta_latency_p95_ms_see_minus_cic,74,-0.01711089416664027,0.020102119671937656,-0.8511985027393352,0.3946590943994658,-0.05651032473655221,0.022288536403271667,0.15137198092389093,0.10217615373107303
impaired_gru,5,speed_mean_kmh,delta_aoi_mean_s_see_minus_cic,74,0.05990397324742851,0.04458696418025767,1.3435311048594096,0.17910006111623755,-0.027484870725853983,0.147292817220711,0.15137198092389093,0.10217615373107303
impaired_gru,5,speed_mean_kmh,delta_aoi_p95_s_see_minus_cic,74,-0.04316639312913854,0.0461442358788228,-0.93546663645045,0.3495478695573885,-0.1336074335457522,0.04727464728747512,0.15137198092389093,0.10217615373107303
impaired_gru,5,vehicle_count,const,74,0.0014229761127864662,0.0016101890474622333,0.883732326355823,0.37684072554319836,-0.0017329364285403668,0.0045788886541133,0.052920049032857075,-0.001983136530455676
impaired_gru,5,vehicle_count,delta_latency_mean_ms_see_minus_cic,74,-0.004194888837672445,0.009893829171353256,-0.42399042524590885,0.6715727961069281,-0.023586437682716593,0.015196660007371701,0.052920049032857075,-0.001983136530455676
impaired_gru,5,vehicle_count,delta_latency_p95_ms_see_minus_cic,74,0.0018769019795035423,0.00992389381453177,0.18912959112431801,0.8499912496360917,-0.01757357248337854,0.021327376442385623,0.052920049032857075,-0.001983136530455676
impaired_gru,5,vehicle_count,delta_aoi_mean_s_see_minus_cic,74,0.011710353956505281,0.022592345881763655,0.5183328025248488,0.6042260900743859,-0.032569830298023295,0.05599053821103385,0.052920049032857075,-0.001983136530455676
impaired_gru,5,vehicle_count,delta_aoi_p95_s_see_minus_cic,74,-0.011882041210873408,0.023181084148537978,-0.5125748707323856,0.6082487350908057,-0.057316131264600195,0.03355204884285337,0.052920049032857075,-0.001983136530455676
impaired_gru,10,flow_proxy,const,74,4.345914345183288,6.880200599419347,0.6316551795815459,0.5276122214997323,-9.139031036089523,17.8308597264561,0.7228690681785435,0.7068035069135314
impaired_gru,10,flow_proxy,delta_latency_mean_ms_see_minus_cic,74,62.08977896530164,73.25393465168297,0.8475965046865256,0.39666272161013094,-81.48529467784766,205.66485260845093,0.7228690681785435,0.7068035069135314
