model,horizon_s,target,difficulty_quartile,paired_samples,delta_MAE_see_minus_cic,CI_lower,CI_upper
ca_dtnet,5,flow_proxy,Q1-easy,19,-17.938318821316226,-73.88287007240936,44.26809336730481
ca_dtnet,5,flow_proxy,Q2-moderate,18,-19.906653607715775,-58.75722022596395,19.168185632975305
ca_dtnet,5,flow_proxy,Q3-hard,18,-12.69659826258218,-85.77344378445898,58.89980521282934
ca_dtnet,5,flow_proxy,Q4-very-hard,19,25.800276030202728,-48.33000259225724,98.0300356391132
ca_dtnet,5,speed_mean_kmh,Q1-easy,19,0.01007984487175682,-0.0025156450219701054,0.023515484307248015
ca_dtnet,5,speed_mean_kmh,Q2-moderate,18,-0.00609544590567632,-0.011657094212953953,-0.0008373300260471915
ca_dtnet,5,speed_mean_kmh,Q3-hard,18,-0.0047831197300278495,-0.018900573437866136,0.00958730151850234
ca_dtnet,5,speed_mean_kmh,Q4-very-hard,19,0.008170214393227498,-0.0001023994156449206,0.01658222797736912
ca_dtnet,5,vehicle_count,Q1-easy,19,0.002039484817413456,-0.0017602739122044007,0.005871483403085882
ca_dtnet,5,vehicle_count,Q2-moderate,18,-0.002389055803502386,-0.00588840586958398,0.0008108986696779663
ca_dtnet,5,vehicle_count,Q3-hard,18,-0.0008239267099954447,-0.003492886962923974,0.0018613763212897594
ca_dtnet,5,vehicle_count,Q4-very-hard,19,-0.0019625587400469626,-0.005687345560231124,0.0013322178917823735
ca_dtnet,10,flow_proxy,Q1-easy,19,-33.97414813978618,-89.69265476194627,28.614569746847945
ca_dtnet,10,flow_proxy,Q2-moderate,18,-26.51341817773371,-100.44678878306331,48.55827718726856
ca_dtnet,10,flow_proxy,Q3-hard,18,-27.760507332543057,-128.79388432843703,79.80112152249973
ca_dtnet,10,flow_proxy,Q4-very-hard,19,-38.929264708179815,-154.98833938321317,64.49801482976409
ca_dtnet,10,speed_mean_kmh,Q1-easy,19,-0.009947283035057448,-0.021653087851373324,0.0010091008246081925
ca_dtnet,10,speed_mean_kmh,Q2-moderate,18,-0.005297028341409302,-0.01773641907482477,0.00661458189504965
ca_dtnet,10,speed_mean_kmh,Q3-hard,18,-0.006795715590492055,-0.026879313401009203,0.011826615419070178
ca_dtnet,10,speed_mean_kmh,Q4-very-hard,19,-0.005884550311348585,-0.019720395368130913,0.0062186687178631
ca_dtnet,10,vehicle_count,Q1-easy,19,-0.0025115262867394517,-0.006220064931848626,0.0012981280533974082
ca_dtnet,10,vehicle_count,Q2-moderate,18,-0.005253738665081492,-0.009698982685315136,-0.0015886949135571309
ca_dtnet,10,vehicle_count,Q3-hard,18,0.003918092337950781,3.1908144989807446e-05,0.007959625880348598
