model,horizon_s,target,disparity_quartile,paired_samples,delta_MAE_see_minus_cic,CI_lower,CI_upper
ca_dtnet,5,flow_proxy,Q1-SEE-better,19,-60.941645063795285,-104.14721066744663,-16.012284589588585
ca_dtnet,5,flow_proxy,Q2-small,18,-75.25589933147947,-134.51273909413268,-3.294114743939786
ca_dtnet,5,flow_proxy,Q3-moderate,18,31.570593499727895,-3.8616586910222597,62.79693892356729
ca_dtnet,5,flow_proxy,Q4-SEE-worse,19,79.30239023616416,16.973790203088452,148.71347982745507
ca_dtnet,5,speed_mean_kmh,Q1-SEE-better,19,0.004733052003134937,-0.007007383076501881,0.01722310126656087
ca_dtnet,5,speed_mean_kmh,Q2-small,18,-0.017172259475467175,-0.025293182925141926,-0.009297871749516703
ca_dtnet,5,speed_mean_kmh,Q3-moderate,18,0.001460436419974102,-0.0028581817159055076,0.0057913172796510565
ca_dtnet,5,speed_mean_kmh,Q4-SEE-worse,19,0.01809588271217571,0.0067731633220974325,0.029052198687481816
ca_dtnet,5,vehicle_count,Q1-SEE-better,19,0.0016327066259191308,-0.0021730155714633453,0.005472187681405764
ca_dtnet,5,vehicle_count,Q2-small,18,-0.0019217050451355083,-0.0035261567490079073,-0.00023199080134614318
ca_dtnet,5,vehicle_count,Q3-moderate,18,-0.003271036358555696,-0.007268205104705435,0.00046166356917844744
ca_dtnet,5,vehicle_count,Q4-SEE-worse,19,0.00031978050531477004,-0.003503254635854919,0.003983189530255363
ca_dtnet,10,flow_proxy,Q1-SEE-better,19,-77.63302169495374,-128.95294385859893,-24.82106402600409
ca_dtnet,10,flow_proxy,Q2-small,18,-238.0839614195712,-312.78592194001044,-183.67414898347948
ca_dtnet,10,flow_proxy,Q3-moderate,18,41.00336284576932,5.687287620653259,79.63693052844428
ca_dtnet,10,flow_proxy,Q4-SEE-worse,19,140.0201412229589,63.70281984483369,220.2489601111314
ca_dtnet,10,speed_mean_kmh,Q1-SEE-better,19,-0.010686860556750243,-0.021655538747820793,-0.0001227845831389673
ca_dtnet,10,speed_mean_kmh,Q2-small,18,-0.03855092834841857,-0.051440388143809655,-0.025242001888219977
ca_dtnet,10,speed_mean_kmh,Q3-moderate,18,0.003515028387054716,-0.004252836957111964,0.011190984412638435
ca_dtnet,10,speed_mean_kmh,Q4-SEE-worse,19,0.01659064871194026,0.007719154435294469,0.02521529179496222
ca_dtnet,10,vehicle_count,Q1-SEE-better,19,-0.002043639231806259,-0.005075412284335707,0.00098866337199969
ca_dtnet,10,vehicle_count,Q2-small,18,-0.0014341649646834598,-0.006075035009486552,0.002428762310849622
ca_dtnet,10,vehicle_count,Q3-moderate,18,-0.005406966816650562,-0.010805320563221395,-1.2436198584096366e-05
ca_dtnet,10,vehicle_count,Q4-SEE-worse,19,0.0069257787019252805,0.0032508325472753253,0.010946758930727656
ca_dtnet,30,flow_proxy,Q1-SEE-better,19,-123.5779860658487,-199.39461290044562,-43.86227500999196
ca_dtnet,30,flow_proxy,Q2-small,18,159.47598654376574,93.87962098516647,232.8243287660374
ca_dtnet,30,flow_proxy,Q3-moderate,18,19.830564672664877,-29.81279052104395,67.85341015620926
ca_dtnet,30,flow_proxy,Q4-SEE-worse,19,-215.3941321529684,-269.73607110770604,-157.17372239361492
ca_dtnet,30,speed_mean_kmh,Q1-SEE-better,19,-0.0042167218697811175,-0.01552668479638119,0.005663187415414331
ca_dtnet,30,speed_mean_kmh,Q2-small,18,0.025257141725660823,0.0153759705560807,0.0352885846363002
ca_dtnet,30,speed_mean_kmh,Q3-moderate,18,0.015113755126713091,0.007311511385053838,0.02262085729168536
ca_dtnet,30,speed_mean_kmh,Q4-SEE-worse,19,-0.017137518166803412,-0.02853029744453875,-0.005815580096914594
ca_dtnet,30,vehicle_count,Q1-SEE-better,19,-0.0035165425098823786,-0.0077772676130718164,0.001277313044210474
ca_dtnet,30,vehicle_count,Q2-small,18,-0.001582343854031307,-0.005733497056218545,0.0024815172873852427
ca_dtnet,30,vehicle_count,Q3-moderate,18,-0.0033543253822690103,-0.01207785150808155,0.005118130415140336
ca_dtnet,30,vehicle_count,Q4-SEE-worse,19,-0.04140748098992379,-0.047150798660398924,-0.036234566157138395
graph_gru,5,flow_proxy,Q1-SEE-better,19,66.04317575515488,4.548944373846507,148.7932374369087
graph_gru,5,flow_proxy,Q2-small,18,70.86408071677579,19.292296620889793,144.466963403351
graph_gru,5,flow_proxy,Q3-moderate,18,63.964489189246805,52.400614082837826,77.66351879929786
graph_gru,5,flow_proxy,Q4-SEE-worse,19,-16.933794052113484,-78.6656449552308,36.09978364684252
graph_gru,5,speed_mean_kmh,Q1-SEE-better,19,0.019478228103146245,0.0009643366086537837,0.04688375796028885
graph_gru,5,speed_mean_kmh,Q2-small,18,0.008621557601283704,0.001499641739285079,0.018406769497587336
graph_gru,5,speed_mean_kmh,Q3-moderate,18,0.00949450460820822,0.006027226103771363,0.014238023944104321
graph_gru,5,speed_mean_kmh,Q4-SEE-worse,19,0.0005094619326383618,-0.004740393636674808,0.005480893775178531
graph_gru,5,vehicle_count,Q1-SEE-better,19,0.010610341314433192,0.0009755906151416296,0.025027599401872238
graph_gru,5,vehicle_count,Q2-small,18,0.0015543696530372353,-0.0004576668989491379,0.003381067292824671
graph_gru,5,vehicle_count,Q3-moderate,18,4.593274838824188e-05,-0.0017053989432460836,0.00141587673378665
graph_gru,5,vehicle_count,Q4-SEE-worse,19,-0.001023983953415192,-0.003226077287687427,0.001040642402909229
graph_gru,10,flow_proxy,Q1-SEE-better,19,163.23873084322008,81.94750681677357,253.23027569032305
graph_gru,10,flow_proxy,Q2-small,18,105.77755623949663,68.93077549093528,153.44930990605923
graph_gru,10,flow_proxy,Q3-moderate,18,41.54915449361569,13.792896052351749,64.90434173283313
graph_gru,10,flow_proxy,Q4-SEE-worse,19,-63.408399894932266,-117.49129809917532,-13.556362105602831
graph_gru,10,speed_mean_kmh,Q1-SEE-better,19,0.009211730105995929,-0.0028210322668226523,0.02283999887451817
graph_gru,10,speed_mean_kmh,Q2-small,18,0.011525407826699308,0.004629650099777177,0.018831191786575087
graph_gru,10,speed_mean_kmh,Q3-moderate,18,0.011464721132462477,0.004330606128457395,0.02053174568223152
graph_gru,10,speed_mean_kmh,Q4-SEE-worse,19,-0.008514577586094137,-0.02026373051718672,0.0019712210881837476
graph_gru,10,vehicle_count,Q1-SEE-better,19,0.01397624892570239,0.004440515161501159,0.02740477716503004
graph_gru,10,vehicle_count,Q2-small,18,0.0027925316260286664,0.0002439902823992106,0.005404520880340459
graph_gru,10,vehicle_count,Q3-moderate,18,-0.0020392769271823097,-0.006117873496833935,0.0008457913629344359
graph_gru,10,vehicle_count,Q4-SEE-worse,19,-0.0011256775559171693,-0.0032701918875967877,0.0011431181836486395
graph_gru,30,flow_proxy,Q1-SEE-better,19,-24.225715048402844,-55.508946829476876,2.3948107980900897
graph_gru,30,flow_proxy,Q2-small,18,-3.6237753118056286,-25.420125857255297,24.866049567766776
graph_gru,30,flow_proxy,Q3-moderate,18,26.426330644842892,-10.939932668915894,60.72643292971571
graph_gru,30,flow_proxy,Q4-SEE-worse,19,88.44936941561565,34.94792442732474,148.88209604049217
graph_gru,30,speed_mean_kmh,Q1-SEE-better,19,0.00373456287433085,-0.0005594563963106074,0.00742479666769397
graph_gru,30,speed_mean_kmh,Q2-small,18,0.002686291853708155,-0.001571906200717426,0.007102395061031959
graph_gru,30,speed_mean_kmh,Q3-moderate,18,0.0024997149579139874,-0.007676262745638856,0.01439179059244349
graph_gru,30,speed_mean_kmh,Q4-SEE-worse,19,-0.0013281429161674343,-0.02124069904867323,0.01950968769966773
graph_gru,30,vehicle_count,Q1-SEE-better,19,0.003649630528570211,-0.002605520954886236,0.012845326584669435
graph_gru,30,vehicle_count,Q2-small,18,0.0030941066790649194,-0.0002929042516777524,0.007581736000686012
graph_gru,30,vehicle_count,Q3-moderate,18,-0.011296648839993558,-0.027231715140136604,-0.0008035134800844213
graph_gru,30,vehicle_count,Q4-SEE-worse,19,-0.01743323071809791,-0.03053796280311028,-0.006256927604067033
