model_label,domain_label,mean,std
CA-DTNet,CICV5G,0.41092250205230957,0.004969672093270267
CA-DTNet,Clean,0.41298598054389873,0.005382878821298309
CA-DTNet,SEE-V2X,0.41098777402524456,0.005231826761848443
DCRNN,CICV5G,0.4392889967795299,0.006486926637747564
DCRNN,Clean,0.4392889967795299,0.006486926637747564
DCRNN,SEE-V2X,0.4393331116135055,0.006442717553486895
Graph GRU,CICV5G,0.44010120143076836,0.004424823784649029
Graph GRU,Clean,0.44010120143076836,0.004424823784649029
Graph GRU,SEE-V2X,0.4405939804178381,0.0045585775269192715
Graph WaveNet,CICV5G,0.4318198069947403,0.009672996815381798
Graph WaveNet,Clean,0.4318198069947403,0.009672996815381798
Graph WaveNet,SEE-V2X,0.4321580377896872,0.009473559050890973
